No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
169;5,316918;;5,316918;5,332913;0,015995;;-0,015995;0,000718;0,016713
170;5,332913;;5,332913;5,332913;0;;0,000718;-0,000718;-0,001436
171;5,332913;;5,332913;5,333631;0,000718;;-0,000718;5,2E-05;0,00077
172;5,333631;;5,333631;5,333631;0;;5,2E-05;0,001225;0,001173
173;5,333631;;5,333631;5,333683;5,2E-05;;0,001225;-0,001211;-0,002436
174;5,333683;;5,333683;5,33496;0,001277;;-0,001211;0,000606;0,001817
175;5,33496;;5,33496;5,335026;6,6E-05;;0,000606;-0,000574;-0,00118
176;5,335026;;5,335026;5,335698;0,000672;;-0,000574;0,001458;0,002032
177;5,335698;;5,335698;5,335796;9,8E-05;;0,001458;-0,001263;-0,002721
178;5,335796;;5,335796;5,337352;0,001556;;-0,001263;-2,1E-05;0,001242
179;5,337352;;5,337352;5,337645;0,000293;;-2,1E-05;0,018716;0,018737
180;5,337645;;5,337645;5,337917;0,000272;;0,018716;-0,018192;-0,036908
181;5,337917;;5,337917;5,356905;0,018988;;-0,018192;-0,000796;0,017396
182;5,356905;;5,356905;5,357701;0,000796;;-0,000796;0;0,000796
183;5,357701;;5,357701;5,357701;0;;0;1,8E-05;1,8E-05
184;5,357701;;5,357701;5,357701;0;;1,8E-05;0,000112;9,4E-05
185;5,357701;;5,357701;5,357719;1,8E-05;;0,000112;0,002004;0,001892
186;5,357719;;5,357719;5,357849;0,00013;;0,002004;-0,001888;-0,003892
187;5,357849;;5,357849;5,359983;0,002134;;-0,001888;0,000203;0,002091
188;5,359983;;5,359983;5,360229;0,000246;;0,000203;-0,000449;-0,000652
189;5,360229;;5,360229;5,360678;0,000449;;-0,000449;0;0,000449
190;5,360678;;5,360678;5,360678;0;;0;0;0
191;5,360678;;5,360678;5,360678;0;;0;0;0
192;5,360678;;5,360678;5,360678;0;;0;0;0
193;5,360678;;5,360678;5,360678;0;;0;0;0
194;5,360678;;5,360678;5,360678;0;;0;0,000311;0,000311
195;5,360678;;5,360678;5,360678;0;;0,000311;-0,000197;-0,000508
196;5,360678;;5,360678;5,360989;0,000311;;-0,000197;4E-06;0,000201
197;5,360989;;5,360989;5,361103;0,000114;;4E-06;9,9E-05;9,5E-05
198;5,361103;;5,361103;5,361221;0,000118;;9,9E-05;-0,000217;-0,000316
199;5,361221;;5,361221;5,361438;0,000217;;-0,000217;0;0,000217
200;5,361438;;5,361438;5,361438;0;;0;0;0
201;5,361438;;5,361438;5,361438;0;;0;0,000212;0,000212
202;5,361438;;5,361438;5,361438;0;;0,000212;-0,000138;-0,00035
